ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,susmtha,peddneni,123@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,chikitha,bhuma,124@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,rama,k,124@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,venkat,p,125@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,kalyan,p,125@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,kalyani,p,125@gmail.com,01-01-2000
ID,FIRST NAME,LAST NAME,EMAIL,DOB
101,keerthi,p,125@gmail.com,01-01-2000
101,bhagi,peddineni,1234@gmail.com,01-01-2000
101,susu,peddineni,1234@gmail.com,01-01-2000
